sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
UBE2Q2P3,-84.52052082016647,9.362113729101655,-8.25385140406644,1.9329429593191874,2.8755287479305514,2.72118463654031,-10.179096916358947,7.141114749139175,8.95914757173146,0.49980274651369966,-3.965934268269257,-4.296124293081239,7.720215931117681,-1.7709492351009342,1.8805349624167502,2.330636051981367,-4.389902470251971,-2.130203427658081,1.8873526088198067,-2.0939954275899955,-4.878159711658849,-1.8550870861246989,-5.555733578544007,-1.308119209724855,-0.011903987296049882,0.6177850636962793,-2.701838904275028,0.8874451325202215,1.826309017294095,-1.8762649294295717,-0.8340620305351293,-1.9728251036657378,1.3129169192352292,1.9448834991366872,-0.1422341588404419,0.4165357882408642,1.6596921718981847,-0.43954945818456276,-2.139284652319244,0.9161401527748376,0.9833858095796928,1.6113295210253242,-0.2127005573854543,-0.8280470531405951,-1.528117621343935,0.42175367822468873,-0.7876560255946305,0.808879472074418,2.057939587716636,1.4385500969170335
UBE2Q2P2,-78.28409816173232,2.863006256320782,-9.472512867588419,0.9852091064253197,5.726093912939494,0.8786465232922807,-6.0986759289409465,8.032192975614059,3.8974642553178875,1.5227846609204967,-1.7164454501896969,-5.142020453128368,7.372840389839673,-2.1580061017260053,2.508473564437734,4.3817526391187025,-1.326207703504251,-3.546628130807027,0.9189884182495116,-0.24305412568328236,-3.762574597088008,-2.1901000095083933,-3.5789975091148354,-2.4588592645615197,-2.022058969336433,0.46047166285334773,-1.2326501358293782,2.0008494674114172,1.8784208751896858,-1.9178989715270265,-0.9027468133343812,-1.3037396356107345,0.37594485241655134,2.5196140002245353,0.41743085828026744,0.06265845661510107,1.4234423599201038,-1.2753244226625247,-1.6489965231436534,1.0453144590129233,1.4609421084031513,1.8946364925436041,-0.6363150745356017,0.563134417876652,-1.686141948332786,-0.7892813954465422,-0.42652596642115476,0.41257053072395955,2.100608822454071,0.27336260649646904
HMGB1P1,5.072950437468766,0.8519307869936341,-3.674045301795791,-4.812785418778009,1.091144958757171,-3.8442411141864166,3.7673135895844476,-2.620816788391882,5.171837959470417,3.6506376220562147,0.3801163324068928,1.0828436472672742,-6.146160906016831,6.766101049964847,-1.3799837711609055,-7.799230567310935,-4.167034314885575,8.849922397507079,-2.4282877190811507,-5.282208007372025,7.771494613248011,-0.2083113277371507,0.8711878569861113,3.842765794412362,-4.689455822729353,-6.787452519139079,0.42243737364825185,-3.887996078446314,-0.9337077866213384,5.2334718291528945,-0.9113103847633051,-1.448704814151081,2.4138516840696496,-0.9457320012249261,-1.9317571233885584,-1.710861418339378,1.003424559181564,-1.107620889585885,1.5244828654832532,-1.762766189639342,-0.6051389037151221,-0.5158856559300533,0.3377738994575883,-1.6371736362945615,0.7746894009187953,-0.2787842809874439,0.01749196016399528,1.6108459255162741,-1.529645860916422,-1.6792940018588884
TIMM23,83.31538220968818,2.9571143110485383,0.4650653258580881,-6.7987005528776985,4.4811107912863815,-3.536608753935153,2.0651282891722915,-0.8472124105873721,-1.5623848161617364,-1.4701631076986974,0.4099321469104906,0.8016242867694235,-1.3659801759419374,1.5467900925071891,0.8060907512035757,-1.2905780033133984,2.5640216996226495,-0.2730166778928863,-1.6709651189677668,0.9884542165939213,2.4793982784491564,1.2844674371940368,0.3530775705866893,0.6162629217533508,1.3807864810148054,0.15558721456445773,1.0074844248766113,2.7685737844700835,-0.09676057116101495,-0.46329317478413834,0.06621574470558521,-2.0505122609632824,0.6221371517377885,-0.5004299499224033,0.30581356948533633,-0.8712187997304345,-1.858187839201443,0.2591835229680304,-0.5715590512671389,-0.05812718250394662,-0.004460498145620673,0.7673764676216334,-0.6619166348670609,0.8204550987451491,0.6987123305300454,0.803782242952938,0.42062042404874933,-0.17707774608622862,0.5839163608200962,0.4449099606653113
MOXD2,-152.97394853254647,3.161355574544585,1.0435380011314073,-1.4058851734496975,0.9960251391580379,-3.2626366249163534,0.4188064069237761,-0.313644665579762,1.7473856745922403,-1.1734435151041573,0.5267243345824292,2.5262126818643766,-2.9136145020946267,2.391590621387372,-0.8866913280132431,1.32430229509494,0.18320537676051077,-0.08566856113099056,-0.7320478002848041,-0.15355198132753184,-0.669699766181608,-0.7833133375419292,-0.12415433377568241,0.5859757627265336,-1.081884984964859,-0.20616100645820065,0.4137563257922305,0.6036332895277522,0.12016670094340935,0.36870987626965523,-1.0360108060763453,-0.010623266527916748,0.00481689322024712,1.0219386570387272,-0.3832106646882322,-0.22711206462910644,0.06604738287886695,-0.40179353452120137,-0.21065826213118036,0.6017297767545795,-0.5218461668687454,0.13860342106173526,-0.07314855351317628,0.06252784633111226,0.10088313649697522,0.1360019016235196,-0.3093385811913565,0.3309134787964388,-0.37463724103683094,-0.10988741955943929
LOC155060,26.51512493752415,-8.880076910295543,-4.773763664115014,-6.256912842036409,1.996797575904141,-8.378813801612079,-5.891499145290171,1.422180478644991,-2.640869448184898,0.7773392961712109,1.649840252005227,-5.03902598760974,-0.5968074228346496,-7.218013308160908,2.2091713936313404,2.7937540098844877,-10.087111614859815,1.116515569386276,3.7719321518365625,-1.5912260364829423,0.1995390799671909,-2.374716660474842,-2.7234255206798546,-2.173100916827167,-2.1880028735998374,-4.535013646370057,-4.522222335510066,-2.000355089799914,3.501941936204109,-3.4218438854013766,1.3094194074996408,-1.4615554419013288,1.621248501755147,-0.2813616441367549,0.5871504345606825,-0.24636012003396887,2.0807146042202116,-1.2928616675740465,-0.61938902716066,0.9316429690853623,1.5753596220223405,-1.2750336336363064,3.259317189992279,-0.08874441959836789,-0.027795645981843864,0.2709030043153683,-0.40390946973946545,0.48393415505954834,0.6872244167252088,0.36321098024631826
RNU12-2P,-149.03430683553324,1.4927910885330966,0.6677880647426852,-2.7406197499291842,-0.4406436700312016,-4.592747579912348,-2.24554869049141,0.715705863535439,2.377516601039411,-0.35023891884780417,0.5905355047167139,1.5560293247297061,-2.488455149956477,0.31211191341722505,-0.43065410084368505,2.403381397559735,-0.8558004970217998,-0.2090807535005107,-0.366572015349754,-0.33673692102887276,-0.7274717520829637,-0.7642770789387072,0.5161328163458075,-0.16235018554304725,-0.76525659771641,-0.5397890663152309,-0.3184672037683002,1.238907439697766,0.7068899703779855,0.12896571627805176,-0.4458681978835642,-0.24695488814310534,0.3778907066955554,0.787068382431577,-0.12202432425979326,0.20196210002223966,-0.09594766536097697,-0.31339704560650045,-0.43806507927267385,0.48458675499248,-0.5805980425620219,-0.1867182083665733,-0.2783976420929049,0.4608151038615099,0.16622478701447993,-0.07200147266986127,-0.07343526016433412,-0.3305572377194628,0.28248990162520027,0.21121213426957214
SSX9,-151.53825431547725,3.314312195726189,1.9280817243385304,-2.464864425388821,1.3704791860748735,-3.577734313925411,0.9257984838379831,-0.7782072990727051,1.5021995452511763,-1.0177533432748982,-0.4564621470793527,3.42680391452788,-2.183238060030268,2.7336827268616646,-1.2057861992306973,1.310503834229704,-0.6187687584577329,0.00414969325388255,-0.892035881802549,0.4747297926646067,-0.6129004253998296,-0.9639791561727262,-0.2500643041614549,0.5915065752120225,-0.7553659022203012,0.12558031154485222,0.4204563473817171,0.658279827476774,-0.4166364942336152,-0.23955209417427462,-0.6800744121346413,-0.4071229980499004,-0.4409191606925603,0.4009511882050293,-0.1684641773351431,0.4980650956228773,1.1629539030617482,0.5612170317070332,1.160037805920749,-0.09024014283009074,0.2256320409173697,-0.5371697201975791,0.4004448753209689,0.14244455888999583,0.13740232141974612,-0.32339023053281907,0.10703714940550495,0.8459660857183203,-0.598073391494603,-0.7089968594550955
LOC317712,-152.94581743794365,3.1771187788368467,1.0222252806297256,-1.4026383186929559,0.9875751562097957,-3.267923820253533,0.4212126198022129,-0.3282886836833086,1.760336808835039,-1.1989637377320859,0.5074462156749797,2.5181807388137645,-2.905560517178794,2.4089770306638996,-0.9059579133728121,1.3160214984974015,0.19341230308069202,-0.1031069244976311,-0.7447367441677536,-0.15630714909776017,-0.6623407303421901,-0.8156142148153419,-0.11843603880547152,0.6311470396478429,-1.0667431432806156,-0.2579495392197874,0.41667926540587147,0.6364986554519038,0.10943177725846168,0.35313813109864955,-1.025583038868229,-0.005058784913294472,-0.006360158108210508,1.0286583931364666,-0.3938592121642116,-0.2588448745703199,0.0722482810637578,-0.3546744682688061,-0.24737694329104118,0.5642789922226216,-0.5649991549673533,0.14168315220716116,-0.061427854919841596,0.10220640564335436,0.09710601860909936,0.15434127533729666,-0.30006966857636486,0.36044877739192444,-0.3930499685119854,-0.09681933119939744
CXorf67,-134.6816183248396,-5.1362507663586205,-4.7216573738460035,-8.43250781074902,-0.8793263440303337,-2.077416745923959,0.29773515446658905,1.7362215811907755,-3.9524744669115277,-2.551459403885911,0.11908310626011057,0.1675078077992461,10.535632454152136,1.4052335081370377,1.56319691888029,-11.600032241527598,-1.078058253901596,1.8739743360537362,6.792309443750861,4.991525305592089,0.6948357100856821,5.245476562379656,-4.258249700496087,1.0406557108540275,3.7132310212418433,2.7801596640515425,-0.9342557916005074,3.2165822850975627,1.7754520558316182,-1.9372765481303367,0.5369097843936653,-1.7815136862227248,-1.90012433283184,-2.416375703026423,1.1679672936898384,4.77970924569575,3.411349474906756,4.684410755933022,3.10433076758927,-1.031353530564196,-0.4948719558162334,-1.4904170764530231,-1.791463955814268,1.5845640406591435,1.4633237353582023,-1.6784585298509276,2.413591592957563,4.270479909747888,-0.6826551808139365,-0.549598580611322
