percent pertubation_type Round CV AUC AUPR
0.5 network Round--6 CV--2 0.76318 0.45698
0.5 network Round--6 CV--3 0.81772 0.65496
0.5 network Round--6 CV--4 0.81821 0.65545
0.5 network Round--6 CV--5 0.81893 0.67318
0.5 network Round--7 CV--1 0.79840 0.63865
0.5 network Round--7 CV--2 0.80979 0.63145
0.5 network Round--7 CV--3 0.81198 0.64490
0.5 network Round--7 CV--4 0.78790 0.49685
0.5 network Round--7 CV--5 0.81717 0.62482
0.5 network Round--8 CV--1 0.81758 0.67610
0.5 network Round--8 CV--2 0.79289 0.62695
0.5 network Round--8 CV--3 0.78375 0.61903
0.5 network Round--8 CV--4 0.80749 0.61986
0.5 network Round--8 CV--5 0.80141 0.64333
0.5 network Round--9 CV--1 0.81786 0.66569
0.5 network Round--9 CV--2 0.80049 0.63059
0.5 network Round--9 CV--3 0.81638 0.67521
0.5 network Round--9 CV--4 0.82156 0.64233
0.5 network Round--9 CV--5 0.82536 0.65474
0.25 network Round--0 CV--1 0.84122 0.67842
0.25 network Round--0 CV--2 0.85664 0.70629
0.25 network Round--0 CV--3 0.84119 0.59649
0.25 network Round--0 CV--4 0.88379 0.75618
0.25 network Round--0 CV--5 0.83967 0.67036
0.25 network Round--1 CV--1 0.85797 0.71195
0.25 network Round--1 CV--2 0.85477 0.69239
0.25 network Round--1 CV--3 0.87103 0.71167
0.25 network Round--1 CV--4 0.83545 0.68091
0.25 network Round--1 CV--5 0.86220 0.70630
0.25 network Round--2 CV--1 0.86043 0.70636
0.25 network Round--2 CV--2 0.86831 0.70999
0.25 network Round--2 CV--3 0.87152 0.73366
0.25 network Round--2 CV--4 0.80439 0.53790
0.25 network Round--2 CV--5 0.80721 0.51221
0.25 network Round--3 CV--1 0.85274 0.69284
0.25 network Round--3 CV--2 0.85564 0.69682
0.25 network Round--3 CV--3 0.80414 0.54638
0.25 network Round--3 CV--4 0.86123 0.71560
0.25 network Round--3 CV--5 0.78105 0.47634
0.25 network Round--4 CV--1 0.86698 0.73314
0.25 network Round--4 CV--2 0.80929 0.52734
0.25 network Round--4 CV--3 0.82843 0.68422
0.25 network Round--4 CV--4 0.82763 0.66814
0.25 network Round--4 CV--5 0.85451 0.68562
