nodes edges methods memory_usage avg_epoch_time
10000 1000000 EMOGI 6.9570300000000005 0.16431010246276856
10000 1000000 GAT 9.160160000000001 0.16346221446990966
10000 1000000 GCN 6.87891 0.1333044648170471
10000 1000000 MTGCN 8.89258 1.7340700149536132
10000 1000000 SVM 0.05273440000000001 4.587398052215576
10000 1200000 GCN 8.257810000000001 0.1549076771736145
10000 1200000 MTGCN 9.24023 2.074402928352356
10000 1200000 SVM 0.0585938 4.626855134963989
10000 1400000 MTGCN 8.32617 2.4864315748214723
10000 1400000 SVM 0.0644531 4.728244781494141
10000 1600000 SVM 0.0703125 4.757402181625366
10000 1800000 SVM 0.07617189999999999 4.733306169509888
10000 2000000 SVM 0.0820312 4.7238242626190186
10000 200000 EMOGI 1.47656 0.046734750270843506
10000 200000 GAT 1.9023400000000001 0.04820423007011414
10000 200000 GCN 1.44336 0.03915533065795898
10000 200000 MTGCN 1.55859 0.46353468894958494
10000 200000 SVM 0.0214844 4.60175085067749
10000 3000000 SVM 0.111328 4.675384998321533
10000 400000 EMOGI 2.8378900000000002 0.0755650532245636
10000 400000 GAT 3.7246099999999998 0.07636889576911926
10000 400000 GCN 2.80078 0.062073510885238645
10000 400000 MTGCN 3.6464800000000004 0.7642095804214477
10000 400000 SVM 0.0351562 4.6384100914001465
10000 600000 EMOGI 4.21875 0.10576228976249695
10000 600000 GAT 5.53125 0.10588850498199463
10000 600000 GCN 4.16406 0.0856447434425354
10000 600000 MTGCN 6.7793 1.057244348526001
10000 600000 SVM 0.0410156 4.687086582183838
10000 800000 EMOGI 5.5918 0.1354554033279419
10000 800000 GAT 7.351560000000001 0.1347557032108307
10000 800000 GCN 5.513669999999999 0.10972806692123413
10000 800000 MTGCN 7.138669999999999 1.4107379198074341
10000 800000 SVM 0.046875 4.594553709030151
15000 1000000 EMOGI 6.992189999999999 0.1734813416004181
15000 1000000 GAT 9.195310000000001 0.1719907009601593
15000 1000000 GCN 6.923830000000001 0.1386484694480896
15000 1000000 MTGCN 6.0429699999999995 1.7271939754486083
15000 1000000 SVM 0.05273440000000001 6.345353126525879
15000 1200000 GCN 8.26953 0.16347644805908204
15000 1200000 MTGCN 7.46484 2.0593038320541384
15000 1200000 SVM 0.0585938 6.7320802211761475
15000 1400000 MTGCN 8.40625 2.4854758977890015
15000 1400000 SVM 0.0644531 6.585546493530273
15000 1600000 MTGCN 9.51172 2.824093770980835
15000 1600000 SVM 0.0703125 6.81591272354126
15000 1800000 SVM 0.07617189999999999 6.666118144989014
15000 2000000 SVM 0.0820312 6.537986755371094
15000 200000 EMOGI 1.5293 0.050262589454650876
15000 200000 GAT 1.95312 0.052025821208953854
15000 200000 GCN 1.49023 0.041728976964950565
15000 200000 MTGCN 1.97852 0.4603317975997925
15000 200000 SVM 0.0214844 6.545685052871704
15000 3000000 SVM 0.111328 6.597636699676514
15000 400000 EMOGI 2.8925799999999997 0.08032604932785034
15000 400000 GAT 3.7695300000000005 0.08214812517166138
15000 400000 GCN 2.8418 0.06527689218521118
15000 400000 MTGCN 3.72266 0.7555960655212403
15000 400000 SVM 0.0351562 6.97897481918335
15000 600000 EMOGI 4.246090000000001 0.1117333984375
15000 600000 GAT 5.57031 0.11159090638160706
15000 600000 GCN 4.19531 0.08987368822097778
15000 600000 MTGCN 5.44336 1.0438222646713258
15000 600000 SVM 0.0410156 6.609212398529053
15000 800000 EMOGI 5.62695 0.14180607557296754
15000 800000 GAT 7.39648 0.14075151920318604
15000 800000 GCN 5.55469 0.11438696861267089
15000 800000 MTGCN 9.05273 1.3718855857849122
15000 800000 SVM 0.046875 6.626698970794678
20000 1000000 EMOGI 7.03516 0.17764477491378783
20000 1000000 GAT 9.24023 0.17546067357063294
20000 1000000 GCN 6.951169999999999 0.1421511673927307
20000 1000000 MTGCN 6.06055 1.730539083480835
20000 1000000 SVM 0.0449219 9.9966299533844
20000 1200000 GCN 8.31445 0.16677332520484925
20000 1200000 MTGCN 7.2168 2.0984078645706177
20000 1200000 SVM 0.0507812 10.991492748260498
20000 1400000 MTGCN 8.371089999999999 2.4863426208496096
20000 1400000 SVM 0.05664059999999999 10.631349086761475
20000 1600000 SVM 0.0625 10.379746437072754
20000 1800000 SVM 0.06835939999999999 10.519684076309204
20000 2000000 SVM 0.0742188 10.019518375396729
20000 200000 EMOGI 1.5742200000000002 0.054049959182739256
20000 200000 GAT 1.98242 0.05480335593223572
20000 200000 GCN 1.5117200000000002 0.04369576930999756
20000 200000 MTGCN 1.5117200000000002 0.46931354999542235
20000 200000 SVM 0.0214844 10.351914882659912
20000 3000000 SVM 0.10351600000000001 10.27286148071289
20000 400000 EMOGI 2.9375 0.08341606020927429
20000 400000 GAT 3.8027300000000004 0.0842107343673706
20000 400000 GCN 2.875 0.06787168860435486
20000 400000 MTGCN 2.8066400000000002 0.7674166679382324
20000 400000 SVM 0.027343799999999998 10.14288592338562
20000 600000 EMOGI 4.308590000000001 0.11477616548538208
20000 600000 GAT 5.61523 0.11578914880752564
20000 600000 GCN 4.246090000000001 0.09271924495697022
