filename,batch_size,size,mem_avg,epoch_time_avg,gpu_used_reserved_avg,num_epochs
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_524288.log2_size_480_400_160,524288,480_400_160,0.6336583137512207,4.607477521896362,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_65536.log2_size_120_100_40,65536,120_100_40,0.6272130012512207,4.5074281930923465,0.80859375,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_262144.log2_size_480_400_160,262144,480_400_160,0.6336583137512207,4.563271236419678,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_131072.log2_size_240_200_80,131072,240_200_80,0.6336583137512207,4.616179656982422,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_2048.log2_size_7680_6400_2560,2048,7680_6400_2560,0.5832676887512207,4.968439388275146,0.7646484375,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_65536.log2_size_960_800_320,65536,960_800_320,0.6336583137512207,4.606732797622681,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_2048.log2_size_60_50_20,2048,60_50_20,0.5447911262512207,4.433275747299194,0.726171875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_65536.log2_size_240_200_80,65536,240_200_80,0.6336583137512207,4.625222182273864,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_131072.log2_size_60_50_20,131072,60_50_20,0.5627598762512207,4.332427310943603,0.744140625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_16384.log2_size_7680_6400_2560,16384,7680_6400_2560,0.6307286262512207,4.652215695381164,0.812109375,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_2048.log2_size_1920_1600_640,2048,1920_1600_640,0.5832676887512207,4.925114369392395,0.7646484375,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_131072.log2_size_30_25_10,131072,30_25_10,0.5041661262512207,4.12463641166687,0.685546875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_8192.log2_size_960_800_320,8192,960_800_320,0.5822911262512207,4.53297905921936,0.763671875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_1024.log2_size_60_50_20,1024,60_50_20,0.5225255012512207,4.8119913816452025,0.70390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_1024.log2_size_7680_6400_2560,1024,7680_6400_2560,0.5774083137512207,5.628525185585022,0.7587890625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_65536.log2_size_7680_6400_2560,65536,7680_6400_2560,0.6336583137512207,4.695850300788879,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_524288.log2_size_60_50_20,524288,60_50_20,0.5627598762512207,4.335199213027954,0.744140625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_2048.log2_size_30_25_10,2048,30_25_10,0.4740880012512207,4.229587554931641,0.65546875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_262144.log2_size_1920_1600_640,262144,1920_1600_640,0.6336583137512207,4.629929995536804,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_4096.log2_size_960_800_320,4096,960_800_320,0.5510411262512207,4.657167363166809,0.732421875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_8192.log2_size_30_25_10,8192,30_25_10,0.4826817512512207,4.111495542526245,0.6640625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_32768.log2_size_3840_3200_1280,32768,3840_3200_1280,0.6336583137512207,4.588195586204529,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_32768.log2_size_240_200_80,32768,240_200_80,0.6336583137512207,4.567526483535767,0.8150390625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_4096.log2_size_1920_1600_640,4096,1920_1600_640,0.5510411262512207,4.655625987052917,0.732421875,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_262144.log2_size_60_50_20,262144,60_50_20,0.5627598762512207,4.332917523384094,0.744140625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_1024.log2_size_240_200_80,1024,240_200_80,0.5774083137512207,5.576416254043579,0.7587890625,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_2048.log2_size_960_800_320,2048,960_800_320,0.5832676887512207,4.898802280426025,0.7646484375,10
subgraph_features1500_simulation_network_nodes_25000_edges_1000000_batch_size_65536.log2_size_60_50_20,65536,60_50_20,0.5627598762512207,4.350531196594238,0.744140625,10
