percent pertubation_type Round CV AUC AUPR
0.5 network Round--6 CV--2 0.87987 0.69317
0.5 network Round--6 CV--3 0.90026 0.73432
0.5 network Round--6 CV--4 0.87252 0.67679
0.5 network Round--6 CV--5 0.89174 0.74942
0.5 network Round--7 CV--1 0.86156 0.66581
0.5 network Round--7 CV--2 0.89578 0.73644
0.5 network Round--7 CV--3 0.88830 0.72177
0.5 network Round--7 CV--4 0.86818 0.66592
0.5 network Round--7 CV--5 0.86481 0.64735
0.5 network Round--8 CV--1 0.88865 0.74961
0.5 network Round--8 CV--2 0.86449 0.66235
0.5 network Round--8 CV--3 0.87059 0.70449
0.5 network Round--8 CV--4 0.86751 0.66183
0.5 network Round--8 CV--5 0.88943 0.73326
0.5 network Round--9 CV--1 0.86631 0.65848
0.5 network Round--9 CV--2 0.87726 0.71468
0.5 network Round--9 CV--3 0.88491 0.74193
0.5 network Round--9 CV--4 0.89081 0.73925
0.5 network Round--9 CV--5 0.85377 0.66244
0.25 network Round--0 CV--1 0.88637 0.73114
0.25 network Round--0 CV--2 0.90691 0.78206
0.25 network Round--0 CV--3 0.90716 0.77555
0.25 network Round--0 CV--4 0.90920 0.78416
0.25 network Round--0 CV--5 0.89077 0.73856
0.25 network Round--1 CV--1 0.89445 0.76306
0.25 network Round--1 CV--2 0.89357 0.72750
0.25 network Round--1 CV--3 0.90018 0.74507
0.25 network Round--1 CV--4 0.89830 0.75016
0.25 network Round--1 CV--5 0.88054 0.70554
0.25 network Round--2 CV--1 0.88341 0.72870
0.25 network Round--2 CV--2 0.90433 0.76785
0.25 network Round--2 CV--3 0.90367 0.77434
0.25 network Round--2 CV--4 0.90430 0.77279
0.25 network Round--2 CV--5 0.91595 0.79827
0.25 network Round--3 CV--1 0.88618 0.71348
0.25 network Round--3 CV--2 0.89342 0.73832
0.25 network Round--3 CV--3 0.90014 0.76842
0.25 network Round--3 CV--4 0.89340 0.74074
0.25 network Round--3 CV--5 0.89502 0.73776
0.25 network Round--4 CV--1 0.90270 0.77050
0.25 network Round--4 CV--2 0.90274 0.77689
0.25 network Round--4 CV--3 0.88616 0.74757
0.25 network Round--4 CV--4 0.87036 0.72400
0.25 network Round--4 CV--5 0.89599 0.74958
0.25 network Round--5 CV--1 0.88671 0.73715
0.25 network Round--5 CV--2 0.88968 0.72466
0.25 network Round--5 CV--3 0.90617 0.79024
0.25 network Round--5 CV--4 0.86928 0.72033
0.25 network Round--5 CV--5 0.89773 0.77030
0.25 network Round--6 CV--1 0.88924 0.73827
0.25 network Round--6 CV--2 0.90095 0.74949
0.25 network Round--6 CV--3 0.90424 0.75592
0.25 network Round--6 CV--4 0.88117 0.70933
0.25 network Round--6 CV--5 0.89457 0.76718
0.25 network Round--7 CV--1 0.87477 0.73369
0.25 network Round--7 CV--2 0.90957 0.77069
0.25 network Round--7 CV--3 0.89613 0.75723
0.25 network Round--7 CV--4 0.89194 0.75639
0.25 network Round--7 CV--5 0.88576 0.72672
0.25 network Round--8 CV--1 0.88074 0.71626
0.25 network Round--8 CV--2 0.88769 0.75326
0.25 network Round--8 CV--3 0.88625 0.74845
0.25 network Round--8 CV--4 0.89005 0.75185
0.25 network Round--8 CV--5 0.89464 0.76368
0.25 network Round--9 CV--1 0.90019 0.76687
0.25 network Round--9 CV--2 0.88700 0.75159
0.25 network Round--9 CV--3 0.89225 0.76802
0.25 network Round--9 CV--4 0.89849 0.75003
0.25 network Round--9 CV--5 0.88181 0.74163
0 network Round--0 CV--1 0.89905 0.75684
0 network Round--0 CV--2 0.91497 0.80232
0 network Round--0 CV--3 0.91508 0.79378
0 network Round--0 CV--4 0.91525 0.80199
0 network Round--0 CV--5 0.89557 0.75476
0 network Round--1 CV--1 0.90196 0.77201
0 network Round--1 CV--2 0.89949 0.74926
0 network Round--1 CV--3 0.90407 0.75607
0 network Round--1 CV--4 0.90362 0.76799
0 network Round--1 CV--5 0.90681 0.78675
0 network Round--2 CV--1 0.89559 0.75593
0 network Round--2 CV--2 0.91190 0.78147
0 network Round--2 CV--3 0.91236 0.79836
0 network Round--2 CV--4 0.91509 0.79719
0 network Round--2 CV--5 0.92712 0.81666
0 network Round--3 CV--1 0.90351 0.75778
0 network Round--3 CV--2 0.89885 0.75779
0 network Round--3 CV--3 0.91138 0.78808
0 network Round--3 CV--4 0.90394 0.77598
0 network Round--3 CV--5 0.90318 0.74701
0 network Round--4 CV--1 0.91315 0.79641
0 network Round--4 CV--2 0.91348 0.79327
0 network Round--4 CV--3 0.89130 0.75447
0 network Round--4 CV--4 0.87934 0.74058
0 network Round--4 CV--5 0.90153 0.76051
0 network Round--5 CV--1 0.89303 0.74982
0 network Round--5 CV--2 0.89854 0.75351
0 network Round--5 CV--3 0.91508 0.80463
0 network Round--5 CV--4 0.88152 0.74950
0 network Round--5 CV--5 0.90922 0.79301
0 network Round--6 CV--1 0.89454 0.75583
0 network Round--6 CV--2 0.91158 0.77605
0 network Round--6 CV--3 0.91046 0.76876
0 network Round--6 CV--4 0.90039 0.76797
0 network Round--6 CV--5 0.89707 0.77102
0 network Round--7 CV--1 0.88944 0.76890
0 network Round--7 CV--2 0.91276 0.78265
0 network Round--7 CV--3 0.90343 0.77756
0 network Round--7 CV--4 0.90152 0.77268
0 network Round--7 CV--5 0.89932 0.75449
0 network Round--8 CV--1 0.90333 0.79389
0 network Round--8 CV--2 0.89664 0.76676
0 network Round--8 CV--3 0.88420 0.74459
0 network Round--8 CV--4 0.89931 0.75748
0 network Round--8 CV--5 0.89658 0.77305
0 network Round--9 CV--1 0.90827 0.79913
0 network Round--9 CV--2 0.89419 0.75674
0 network Round--9 CV--3 0.90187 0.78994
0 network Round--9 CV--4 0.90007 0.76065
0 network Round--9 CV--5 0.88760 0.75737
1 feature Round--0 CV--1 0.77302 0.53249
1 feature Round--0 CV--2 0.77644 0.52349
1 feature Round--0 CV--3 0.74675 0.50651
1 feature Round--0 CV--4 0.76576 0.48713
1 feature Round--0 CV--5 0.75968 0.51640
1 feature Round--1 CV--1 0.74612 0.49069
1 feature Round--1 CV--2 0.71716 0.44671
1 feature Round--1 CV--3 0.74997 0.47037
1 feature Round--1 CV--4 0.75615 0.51119
1 feature Round--1 CV--5 0.75321 0.50001
1 feature Round--2 CV--1 0.71826 0.44023
1 feature Round--2 CV--2 0.77792 0.53638
1 feature Round--2 CV--3 0.76218 0.51607
1 feature Round--2 CV--4 0.76819 0.52116
1 feature Round--2 CV--5 0.76093 0.52689
1 feature Round--3 CV--1 0.74852 0.47081
1 feature Round--3 CV--2 0.73064 0.47644
1 feature Round--3 CV--3 0.79228 0.57590
1 feature Round--3 CV--4 0.76181 0.51611
1 feature Round--3 CV--5 0.76113 0.53516
1 feature Round--4 CV--1 0.77896 0.52753
1 feature Round--4 CV--2 0.77368 0.52077
1 feature Round--4 CV--3 0.74528 0.49455
1 feature Round--4 CV--4 0.73009 0.45933
1 feature Round--4 CV--5 0.74330 0.48603
1 feature Round--5 CV--1 0.75353 0.49129
1 feature Round--5 CV--2 0.73644 0.45108
1 feature Round--5 CV--3 0.73754 0.49471
1 feature Round--5 CV--4 0.73183 0.44252
1 feature Round--5 CV--5 0.75880 0.48370
1 feature Round--6 CV--1 0.73699 0.43792
1 feature Round--6 CV--2 0.74437 0.49024
1 feature Round--6 CV--3 0.77046 0.50599
1 feature Round--6 CV--4 0.75871 0.52503
1 feature Round--6 CV--5 0.76611 0.54679
1 feature Round--7 CV--1 0.75718 0.48827
