filename,batch_size,size,mem_avg,epoch_time_avg,gpu_used_reserved_avg,num_epochs
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_16384.log4_size_120_100_40,16384,120_100_40,0.3789836883544922,3.983890233039856,0.432421875,50
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_16384.log5_size_240_200_80,16384,240_200_80,0.3996868133544922,4.126935219764709,0.453125,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_1024.log8_size_1920_1600_640,1024,1920_1600_640,0.32781181335449217,4.911368703842163,0.38125,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_16384.log6_size_480_400_160,16384,480_400_160,0.4035930633544922,4.188494229316712,0.45703125,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_1024.log5_size_240_200_80,1024,240_200_80,0.32781181335449217,4.8995678424835205,0.38125,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_4096.log4_size_120_100_40,4096,120_100_40,0.2922649383544922,3.9453229522705078,0.345703125,50
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_65536.log5_size_240_200_80,65536,240_200_80,0.3787883758544922,4.1034290313720705,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_262144.log10_size_7680_6400_2560,262144,7680_6400_2560,0.3787883758544922,4.200895881652832,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_32768.log8_size_1920_1600_640,32768,1920_1600_640,0.3787883758544922,4.1728309154510494,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_131072.log4_size_120_100_40,131072,120_100_40,0.3770305633544922,4.000449485778809,0.43046875,50
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_1024.log9_size_3840_3200_1280,1024,3840_3200_1280,0.3262493133544922,4.957049465179443,0.3796875,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_32768.log3_size_60_50_20,32768,60_50_20,0.3770305633544922,3.9263637685775756,0.43046875,50
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_262144.log3_size_60_50_20,262144,60_50_20,0.3770305633544922,3.951870756149292,0.43046875,50
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_131072.log3_size_60_50_20,131072,60_50_20,0.3770305633544922,3.9394966411590575,0.43046875,50
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_524288.log6_size_480_400_160,524288,480_400_160,0.3787883758544922,4.1417551279068,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_524288.log2_size_30_25_10,524288,30_25_10,0.2491008758544922,3.9638787269592286,0.3025390625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_8192.log2_size_30_25_10,8192,30_25_10,0.2297649383544922,3.862723684310913,0.283203125,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_1024.log7_size_960_800_320,1024,960_800_320,0.32781181335449217,4.935348629951477,0.38125,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_524288.log10_size_7680_6400_2560,524288,7680_6400_2560,0.3787883758544922,4.190050220489502,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_262144.log5_size_240_200_80,262144,240_200_80,0.3787883758544922,4.128153896331787,0.4322265625,10
subgraph_simulation_network_nodes_25000_edges_1000000_batch_size_1024.log4_size_120_100_40,1024,120_100_40,0.2998430633544922,4.604262313842773,0.35328125,50
