ABL1 NTRK1
HRAS RAP1GDS1
FES HSH2D
KRAS RAP1GDS1
EPHB2 SRC
TGFBR1 TGFBR2
TNNC1 TNNT1
TAX1BP1 TNFAIP3
TP53 WWOX
CDC14A TP53
PSMD2 TNFRSF1A
KDR SHC2
DDR2 SHC1
CDH1 CTNND1
CBLL1 CDH1
BIN1 ITGA1
EED ITGA4
FLI1 GATA1
FLNA VHL
VBP1 VHL
JADE1 VHL
LIG3 XRCC1
PNKP XRCC1
ZNF174 ZNF24
TRIM28 ZNF10
TRIM24 ZNF10
COG5 MEFV
MYO7A VEZT
RPA4 XPA
RAD23A XPC
CMIP FLNA
AR FLNA
FLNA TRIO
CASR FLNA
GABPA HCFC1
AGTR2 MTUS1
RANBP9 USP11
NONO SFPQ
PDPK1 PRKCI
BMX PTPN21
BYSL TRO
CITED1 SMAD4
ACTN3 MYPN
CASK TBR1
CASK ID1
DLG3 LRP2
DLG3 ERBB4
IL1RAPL1 NCS1
ARHGEF11 PLXNB3
MAGED1 UNC5A
LRPPRC UXT
CBX5 SUV39H1
UBE3A UBQLN2
RAB9A RABEPK
CTBP2 KLF8
TTC19 UPF3B
UPF2 UPF3B
MCRS1 UPF3B
NXF3 XPO1
CDC6 PPP2R3B
STAM TIMM8A
SH3GL3 SH3KBP1
DMD DTNA
TRIP10 WAS
ARHGEF9 GPHN
PQBP1 TXNL4A
PQBP1 WBP11
GATA1 ZFPM2
F8 PHYH
SH2D1A SLAMF1
FMR1 UBE2I
FMR1 FXR1
FMR1 NUFIP1
MSN TSC1
ARAF ASS1
ARAF MAP2K2
ARAF COPS3
POLA1 RBMS1
RPGR RPGRIP1
PDE6D RPGR
HTR2C MPDZ
AP1G1 SYP
TAF1 UBTF
AR RAN
AR NR2C2
AR NCOA3
AR RNF4
AR NCOA4
AR PAK6
AR RANBP9
AR RCHY1
AR PIAS2
BPY2 UBE3A
INSM1 SORBS1
YAF2 YY1
CBX3 LBR
CBX5 LBR
KLC1 MAPK8IP3
ERBB4 SNTB2
AVEN BCL2L1
BCL2L1 BNIP3
BCL2L1 RTN1
BCL2L1 RTN4
BAX BCL2A1
ABCA1 FADD
LRP2 MAGI1
ANKRA2 LRP2
LRP2 LRP2BP
DAB2 LRP2
DLG2 LRP2
TAF13 TBP
PSTPIP1 PTPN12
PTPN12 SHC1
PTPN12 PXN
TFIP11 TUFT1
PDE4D PDE4DIP
CREBBP HNF4A
CREBBP NFE2L2
CREBBP TDG
AIRE CREBBP
AP1B1 AP1G1
CDKN2A PPP1R9B
JAK3 TIAF1
JAK3 STAT5A
EIF5A RPL5
AES PTRH2
HES6 TLE1
FOXA2 TLE1
IL6ST TLE1
DVL1 EPS8
CENPF TOP3B
HIRA UPF1
HIRA NFU1
PKN2 PTPN13
DSC3 PKP4
ATXN1 COIL
PEX16 PEX19
NDN NUBP1
HNF4A ZNHIT3
GARS IARS
HTRA2 MAPK14
DUSP10 MAPK14
BBS4 PCM1
BCAR1 RAPGEF1
LSM1 PSMB5
RANBP9 S100A7
FLII TRAIP
CSTF2 SUB1
BARD1 CSTF1
RAD51D XRCC2
ID2 MSC
ID2 TCF12
ID2 TCF4
PEX12 PEX5
PEX13 PEX5
ARF6 ARFIP2
NCBP1 NCBP2
NFE2L2 PMF1
EIF2AK3 NFE2L2
IGHMBP2 LSM8
DLG4 KCNJ4
EPHB1 NCK1
MINK1 NCK1
KPNA4 RECQL
KPNA2 RECQL
DLG4 ERBB4
ERBB4 YAP1
DLG2 ERBB4
PIAS1 STAT1
MAPKAPK2 SHC1
DLG4 KCNJ2
AP2M1 LY9
PPP1R9B TIAM1
HNRNPL PTBP1
IFI35 NMI
KCNIP3 PSEN2
PTRF TTF1
CDKN1B NUP50
BMPR2 LIMK1
CYFIP2 FXR1
INPPL1 SORBS1
NCOR2 SPEN
NCOR2 ZBTB16
CDKN1C LIMK1
RTN1 UGCG
SERPINH1 UBQLN4
HAP1 NEUROD1
DCTN1 HAP1
HAP1 HGS
COPB1 COPG1
COPB1 COPG2
DAB2 MYO6
DCP1A SMAD4
BPTF MAZ
F11R TJP1
ADAM17 DLG1
DHDDS NPC2
ARHGEF11 PLXNB1
BCL2A1 BOK
BAD BCL2A1
LSM6 SNRPD2
LSM7 SNRPD3
LSM3 SNRPD3
LSM8 SNRPD1
ABCC2 PDZK1
CADM1 MPP3
MPP6 THOP1
DUSP10 MAPK8
CSPG4 GRIP2
RAN RANBP1
CDC6 ORC2
DBF4 ORC2
CDC45 ORC2
PTK2B TGFB1I1
MTOR UBQLN1
BIN1 ITGA3
BIN1 SNX4
BCAR1 YWHAZ
BMPR1A SF3B4
PKD1 RGS7
HNRNPD LSM5
DVL1 HECW1
TSG101 VPS37A
ETV6 KAT5
MYBL2 ZNF622
CACYBP SKP1
ESR2 MAD2L1
NCOA4 PPARG
BAG1 HSPA8
BAG1 PPP1R15A
GIGYF2 GRB10
EP300 PROX1
ATXN1 UBQLN4
ANP32A ATXN1
ATXN1 USP7
EED EZH2
KHDRBS1 RAPSN
CITED2 TFAP2C
RALGDS RIT1
MRAS RALGDS
PGR UBE3A
PSMD4 RAD23A
PSMD4 RAD23B
GTF2I LSM8
PSMC5 THRB
TRAF1 TRAIP
HIVEP3 TRAF1
SMARCD2 XRN1
CUL5 RNF7
SETDB1 TRIM28
PEX7 PHYH
PEX10 PEX12
SP3 STK19
RFX5 RFXAP
HIVEP3 TRAF2
TRAF2 TRAIP
CDC7 ORC1
BCL2L11 BCL2L2
PTK6 STAP2
EXOSC6 PSMB1
DCP2 PSMB1
IL16 PPP1R12A
CBX4 RING1
DOCK8 RAC1
RAC1 RAP1GDS1
ARFIP2 RAC1
CUL1 RAC2
LSM8 TALDO1
SYT9 TRPV1
TACC1 YEATS4
CLNS1A PRMT5
KIF22 SIAH1
PEG10 SIAH1
CACYBP SIAH1
PEG10 SIAH2
ATXN7 CRX
NEDD4 UBE2D2
DRAP1 TTF2
ILK ILKAP
ILK LIMS1
DNM2 SHANK1
DNM2 SHANK2
BLMH UBE2I
HAND2 PPP2R5D
COPS5 HAND2
CFTR GOPC
ERI1 SLBP
ITSN1 SCAMP1
CYTH2 IPCEF1
NR0B1 NRIP1
CCNT1 HEXIM1
COPB2 RGS4
MAP2K5 MAP3K3
SNAP23 SNAPIN
ARNTL NPAS4
RANBP3 XPO1
GOLGA2 GORASP2
MAGOH RBM8A
ASIC3 MAGI1
IL1RAP TOLLIP
FHL2 SFPQ
EED PPP1R8
EIF4A1 UPF2
PDE6D RND1
ARHGAP5 RND3
HNRNPAB TP63
NCOA1 NR1H4
MCM3 MCM5
CDC45 MCM3
DBF4 MCM3
MCM3 ORC5
MCM3 ORC4
CDC7 MCM5
CITED2 EP300
APBA2 CLSTN1
FYB SKAP1
PRKAB1 PRKAG1
PRKAB1 PRKAG2
PRKAB2 PRKAG1
PRKAB2 PRKAG2
PRKAG1 PRKAG2
RGPD5 TNPO1
DNMT3A UBE2I
BRD8 THRB
PATZ1 RNF4
CDC5L TTF2
KAZN PPL
SAFB SAFB2
MAPK10 MAPK8IP3
HDAC3 MAPK11
PIAS4 SMAD7
LPAR2 TRIP6
CITED2 LHX2
E2F6 RYBP
POLE2 SAP18
BTG1 PRMT1
RNF216 TLR3
RNF216 TLR4
RNF216 TLR5
ABI1 ENAH
DUSP11 SRSF7
DUSP11 SRSF9
NEDD9 SMAD3
CUL1 RNF7
PNN SRRM2
BAD MCL1
DAXX MCRS1
BTAF1 MVD
FANCA SMARCA4
CHD4 XRN1
ARHGEF7 SHANK2
FNBP1 TNKS
AURKB BIRC5
TNFRSF25 TRADD
PABPC4 XRN1
ITGA3 RABIF
RIPK1 RIPK3
LSM7 MYH13
BCL10 MALT1
BCL10 C9orf89
AP1G2 AP1S1
AP1G1 AP1S1
AP1G1 AP1S2
AP1G2 AP1S2
AP1G2 XRN1
AP1M1 VAMP4
GPN1 MBD2
MBD3 MBD3L1
CHD8 TOP3B
HUNK RABEP1
UBE2L3 UBOX5
PDZK1 SLC22A4
AKAP10 PDZK1
PDZK1 PDZK1IP1
PDZK1 SLC22A12
DNM1L GSK3B
CCNT2 HEXIM1
CUL4A RNF7
CUL2 RNF7
RAB27A SYTL4
BYSL TROAP
DMAP1 RGS6
EIF3G MPP6
AKAP9 TACC3
AKAP9 FNBP1
DIS3 ZBTB17
PLCB2 TRPM7
