percent pertubation_type Round CV AUC AUPR
0.5 network Round--6 CV--2 0.84691 0.67056
0.5 network Round--6 CV--3 0.82646 0.65700
0.5 network Round--6 CV--4 0.83587 0.66598
0.5 network Round--6 CV--5 0.82524 0.66734
0.5 network Round--7 CV--1 0.80441 0.61999
0.5 network Round--7 CV--2 0.82031 0.64636
0.5 network Round--7 CV--3 0.83137 0.65959
0.5 network Round--7 CV--4 0.84620 0.68473
0.5 network Round--7 CV--5 0.83196 0.63491
0.5 network Round--8 CV--1 0.81446 0.66778
0.5 network Round--8 CV--2 0.80582 0.63586
0.5 network Round--8 CV--3 0.79639 0.62704
0.5 network Round--8 CV--4 0.82541 0.64893
0.5 network Round--8 CV--5 0.83032 0.67900
0.5 network Round--9 CV--1 0.84272 0.70214
0.5 network Round--9 CV--2 0.81651 0.64308
0.5 network Round--9 CV--3 0.82715 0.68057
0.5 network Round--9 CV--4 0.82593 0.63645
0.5 network Round--9 CV--5 0.81582 0.61165
0.25 network Round--0 CV--1 0.84682 0.65632
0.25 network Round--0 CV--2 0.86295 0.68086
0.25 network Round--0 CV--3 0.87319 0.70551
0.25 network Round--0 CV--4 0.88778 0.74409
0.25 network Round--0 CV--5 0.85600 0.68763
0.25 network Round--1 CV--1 0.86362 0.70447
0.25 network Round--1 CV--2 0.85910 0.66697
0.25 network Round--1 CV--3 0.86930 0.69567
0.25 network Round--1 CV--4 0.84838 0.69126
0.25 network Round--1 CV--5 0.86525 0.68636
0.25 network Round--2 CV--1 0.86143 0.70842
0.25 network Round--2 CV--2 0.86622 0.69987
0.25 network Round--2 CV--3 0.87144 0.73724
0.25 network Round--2 CV--4 0.86306 0.70593
0.25 network Round--2 CV--5 0.86653 0.69901
0.25 network Round--3 CV--1 0.85584 0.67942
0.25 network Round--3 CV--2 0.86264 0.70160
0.25 network Round--3 CV--3 0.86263 0.68140
0.25 network Round--3 CV--4 0.86681 0.70093
0.25 network Round--3 CV--5 0.84417 0.64527
0.25 network Round--4 CV--1 0.87563 0.74492
0.25 network Round--4 CV--2 0.86572 0.70802
0.25 network Round--4 CV--3 0.83980 0.67002
0.25 network Round--4 CV--4 0.83577 0.64829
0.25 network Round--4 CV--5 0.85823 0.66557
0.25 network Round--5 CV--1 0.85350 0.67702
0.25 network Round--5 CV--2 0.85108 0.66202
0.25 network Round--5 CV--3 0.86809 0.71048
0.25 network Round--5 CV--4 0.84852 0.67426
0.25 network Round--5 CV--5 0.85661 0.68514
0.25 network Round--6 CV--1 0.85548 0.68546
0.25 network Round--6 CV--2 0.87173 0.70275
0.25 network Round--6 CV--3 0.85604 0.66069
0.25 network Round--6 CV--4 0.85312 0.65627
0.25 network Round--6 CV--5 0.85319 0.70610
0.25 network Round--7 CV--1 0.84302 0.66438
0.25 network Round--7 CV--2 0.86911 0.69189
0.25 network Round--7 CV--3 0.86046 0.67524
0.25 network Round--7 CV--4 0.86834 0.71532
