PC Round AUC AUPR
150 Round--7 0.91338 0.78716
150 Round--7 0.92079 0.80472
150 Round--7 0.91510 0.78106
150 Round--8 0.92441 0.75920
150 Round--8 0.92478 0.81537
150 Round--8 0.90138 0.75159
150 Round--8 0.91315 0.77804
150 Round--8 0.91988 0.78732
150 Round--9 0.89467 0.75014
150 Round--9 0.90112 0.79378
150 Round--9 0.91436 0.75168
150 Round--9 0.92575 0.78805
150 Round--9 0.92752 0.79859
200 Round--0 0.91637 0.76497
200 Round--0 0.92448 0.76875
200 Round--0 0.88311 0.67513
200 Round--0 0.89023 0.71956
200 Round--0 0.90666 0.75765
200 Round--1 0.88884 0.64942
200 Round--1 0.88352 0.73676
200 Round--1 0.92022 0.79637
200 Round--1 0.91603 0.77041
200 Round--1 0.90290 0.76225
200 Round--2 0.90447 0.75119
200 Round--2 0.90433 0.77539
200 Round--2 0.91994 0.76977
200 Round--2 0.90839 0.77571
200 Round--2 0.92179 0.80347
200 Round--3 0.89131 0.75201
200 Round--3 0.92350 0.78260
200 Round--3 0.91090 0.77337
200 Round--3 0.90443 0.75148
200 Round--3 0.89075 0.72656
200 Round--4 0.86026 0.64799
200 Round--4 0.91181 0.75765
200 Round--4 0.92052 0.78279
200 Round--4 0.90011 0.74033
200 Round--4 0.89172 0.71825
200 Round--5 0.92586 0.78722
200 Round--5 0.90070 0.71858
200 Round--5 0.90998 0.78755
200 Round--5 0.90042 0.72395
200 Round--5 0.91813 0.77465
200 Round--6 0.91914 0.80129
200 Round--6 0.90858 0.76564
200 Round--6 0.90011 0.73744
200 Round--6 0.90503 0.78298
200 Round--6 0.90918 0.75417
200 Round--7 0.90933 0.75169
200 Round--7 0.89906 0.69521
200 Round--7 0.89854 0.76111
200 Round--7 0.91128 0.75895
200 Round--7 0.90753 0.77892
200 Round--8 0.91445 0.73895
200 Round--8 0.90738 0.77227
200 Round--8 0.91047 0.74239
200 Round--8 0.90552 0.75003
200 Round--8 0.90717 0.70174
200 Round--9 0.89648 0.74322
200 Round--9 0.88498 0.71796
200 Round--9 0.91065 0.71517
200 Round--9 0.91231 0.74879
200 Round--9 0.91380 0.72669
250 Round--0 0.88666 0.69008
250 Round--0 0.92980 0.81873
250 Round--0 0.90446 0.71375
250 Round--0 0.90010 0.75262
250 Round--0 0.89142 0.75554
250 Round--1 0.90092 0.71883
250 Round--1 0.90358 0.72722
250 Round--1 0.91742 0.82282
250 Round--1 0.90454 0.77697
250 Round--1 0.88737 0.71967
250 Round--2 0.86045 0.63442
250 Round--2 0.90508 0.77569
250 Round--2 0.91611 0.74275
250 Round--2 0.89574 0.72357
250 Round--2 0.91354 0.78280
250 Round--3 0.89924 0.76644
250 Round--3 0.92245 0.75443
250 Round--3 0.87687 0.67176
250 Round--3 0.91285 0.75591
250 Round--3 0.90845 0.76794
250 Round--4 0.86132 0.63805
250 Round--4 0.88346 0.67247
250 Round--4 0.89701 0.72894
250 Round--4 0.91315 0.74200
250 Round--4 0.87490 0.69263
250 Round--5 0.87133 0.60202
250 Round--5 0.89642 0.72559
250 Round--5 0.89340 0.73893
250 Round--5 0.88712 0.71368
250 Round--5 0.92201 0.77362
250 Round--6 0.92144 0.81631
250 Round--6 0.90710 0.74089
250 Round--6 0.88585 0.68983
250 Round--6 0.86752 0.69849
250 Round--6 0.89635 0.72615
250 Round--7 0.91340 0.73255
250 Round--7 0.85294 0.64322
250 Round--7 0.90334 0.73310
250 Round--7 0.87674 0.63166
250 Round--7 0.91567 0.80791
250 Round--8 0.92117 0.73349
250 Round--8 0.91664 0.78829
250 Round--8 0.90475 0.72383
250 Round--8 0.90024 0.73596
250 Round--8 0.91027 0.74458
250 Round--9 0.89784 0.77513
250 Round--9 0.89537 0.74845
250 Round--9 0.89752 0.70721
250 Round--9 0.91554 0.74287
250 Round--9 0.88853 0.73054
300 Round--0 0.90607 0.75040
300 Round--0 0.92533 0.78632
300 Round--0 0.90885 0.76774
300 Round--0 0.88277 0.70889
300 Round--0 0.89057 0.74056
300 Round--1 0.91551 0.77837
300 Round--1 0.79556 0.63743
300 Round--1 0.92151 0.81111
300 Round--1 0.87355 0.59568
300 Round--1 0.89581 0.73823
300 Round--2 0.87982 0.72156
300 Round--2 0.89147 0.72586
300 Round--2 0.91551 0.74690
300 Round--2 0.90068 0.75777
300 Round--2 0.89758 0.76949
300 Round--3 0.88513 0.67203
300 Round--3 0.84662 0.57790
300 Round--3 0.92182 0.79589
300 Round--3 0.91833 0.74383
300 Round--3 0.90581 0.75132
300 Round--4 0.89226 0.74706
300 Round--4 0.88653 0.65445
300 Round--4 0.91046 0.74611
300 Round--4 0.88673 0.67963
300 Round--4 0.89050 0.71508
300 Round--5 0.89835 0.71150
300 Round--5 0.91092 0.76397
300 Round--5 0.88130 0.70593
300 Round--5 0.87936 0.67730
300 Round--5 0.91638 0.73961
300 Round--6 0.88538 0.67638
300 Round--6 0.88910 0.66017
300 Round--6 0.87704 0.66829
300 Round--6 0.90032 0.74299
300 Round--6 0.90389 0.74535
300 Round--7 0.91394 0.76963
300 Round--7 0.89197 0.70179
300 Round--7 0.89349 0.69087
300 Round--7 0.91353 0.76840
300 Round--7 0.89579 0.70241
300 Round--8 0.90900 0.74324
300 Round--8 0.89244 0.71343
300 Round--8 0.88215 0.72098
300 Round--8 0.91183 0.76739
300 Round--8 0.90469 0.68479
300 Round--9 0.89905 0.75521
300 Round--9 0.90160 0.75419
300 Round--9 0.89429 0.66964
300 Round--9 0.92525 0.78483
300 Round--9 0.90447 0.75425
