percent pertubation_type Round CV AUC AUPR
0.5 network Round--6 CV--2 0.89538 0.74281
0.5 network Round--6 CV--3 0.89513 0.73447
0.5 network Round--6 CV--4 0.88492 0.73420
0.5 network Round--6 CV--5 0.88331 0.74546
0.5 network Round--7 CV--1 0.86790 0.71287
0.5 network Round--7 CV--2 0.89436 0.73879
0.5 network Round--7 CV--3 0.88778 0.73038
0.5 network Round--7 CV--4 0.89070 0.74444
0.5 network Round--7 CV--5 0.88974 0.72272
0.5 network Round--8 CV--1 0.88166 0.74401
0.5 network Round--8 CV--2 0.88227 0.72725
0.5 network Round--8 CV--3 0.86816 0.70512
0.5 network Round--8 CV--4 0.88149 0.71588
0.5 network Round--8 CV--5 0.87979 0.72459
0.5 network Round--9 CV--1 0.89289 0.75401
0.5 network Round--9 CV--2 0.87927 0.72549
0.5 network Round--9 CV--3 0.88407 0.74720
0.5 network Round--9 CV--4 0.89131 0.74719
0.5 network Round--9 CV--5 0.86140 0.69859
0.25 network Round--0 CV--1 0.88449 0.72090
0.25 network Round--0 CV--2 0.90917 0.78679
0.25 network Round--0 CV--3 0.90461 0.77783
0.25 network Round--0 CV--4 0.91247 0.79176
0.25 network Round--0 CV--5 0.89445 0.73746
0.25 network Round--1 CV--1 0.89717 0.76019
0.25 network Round--1 CV--2 0.89243 0.73294
0.25 network Round--1 CV--3 0.89860 0.73696
0.25 network Round--1 CV--4 0.89616 0.76000
0.25 network Round--1 CV--5 0.89256 0.75457
0.25 network Round--2 CV--1 0.89069 0.74592
0.25 network Round--2 CV--2 0.90776 0.76976
0.25 network Round--2 CV--3 0.90542 0.78054
0.25 network Round--2 CV--4 0.90322 0.77959
0.25 network Round--2 CV--5 0.91634 0.80091
0.25 network Round--3 CV--1 0.89246 0.72976
0.25 network Round--3 CV--2 0.89314 0.74052
0.25 network Round--3 CV--3 0.90199 0.77020
0.25 network Round--3 CV--4 0.89991 0.75882
0.25 network Round--3 CV--5 0.89372 0.74172
0.25 network Round--4 CV--1 0.90238 0.77690
0.25 network Round--4 CV--2 0.90159 0.77775
0.25 network Round--4 CV--3 0.88460 0.74727
0.25 network Round--4 CV--4 0.87286 0.73938
0.25 network Round--4 CV--5 0.89447 0.74942
0.25 network Round--5 CV--1 0.88488 0.73388
0.25 network Round--5 CV--2 0.89169 0.72922
0.25 network Round--5 CV--3 0.90400 0.77970
0.25 network Round--5 CV--4 0.87910 0.73990
0.25 network Round--5 CV--5 0.89329 0.76732
0.25 network Round--6 CV--1 0.88704 0.73738
0.25 network Round--6 CV--2 0.90085 0.75201
0.25 network Round--6 CV--3 0.89887 0.74841
0.25 network Round--6 CV--4 0.88905 0.75223
0.25 network Round--6 CV--5 0.89351 0.77039
0.25 network Round--7 CV--1 0.88251 0.74815
0.25 network Round--7 CV--2 0.90801 0.76694
0.25 network Round--7 CV--3 0.89989 0.77018
0.25 network Round--7 CV--4 0.89624 0.76752
0.25 network Round--7 CV--5 0.89052 0.73386
0.25 network Round--8 CV--1 0.89325 0.78095
0.25 network Round--8 CV--2 0.88705 0.74767
0.25 network Round--8 CV--3 0.88595 0.75164
0.25 network Round--8 CV--4 0.89116 0.75880
0.25 network Round--8 CV--5 0.89102 0.75809
0.25 network Round--9 CV--1 0.89846 0.76981
0.25 network Round--9 CV--2 0.89103 0.75279
0.25 network Round--9 CV--3 0.89130 0.76709
0.25 network Round--9 CV--4 0.89852 0.75467
0.25 network Round--9 CV--5 0.87554 0.72427
0 network Round--0 CV--1 0.90195 0.76072
0 network Round--0 CV--2 0.91508 0.79988
0 network Round--0 CV--3 0.91492 0.80330
0 network Round--0 CV--4 0.91535 0.80957
0 network Round--0 CV--5 0.89559 0.75440
0 network Round--1 CV--1 0.90111 0.76711
0 network Round--1 CV--2 0.89554 0.74164
0 network Round--1 CV--3 0.90571 0.75711
0 network Round--1 CV--4 0.90687 0.76518
0 network Round--1 CV--5 0.90691 0.79167
0 network Round--2 CV--1 0.88890 0.74846
0 network Round--2 CV--2 0.91118 0.77497
0 network Round--2 CV--3 0.91673 0.80103
0 network Round--2 CV--4 0.91095 0.79483
0 network Round--2 CV--5 0.92846 0.81431
0 network Round--3 CV--1 0.90234 0.75041
